,precio_euros,tamanho,Barcelona
127,400.0,18.0,22.22222222222222
128,750.0,18.0,41.666666666666664
129,450.0,18.0,25.0
130,650.0,18.0,36.111111111111114
131,380.0,18.0,21.11111111111111
132,600.0,18.0,33.333333333333336
133,530.0,18.0,29.444444444444443
134,530.0,18.0,29.444444444444443
135,700.0,18.0,38.888888888888886
136,750.0,18.0,41.666666666666664
137,435.0,18.0,24.166666666666668
138,975.0,18.0,54.166666666666664
139,550.0,18.0,30.555555555555557
140,450.0,18.0,25.0
141,450.0,18.0,25.0
142,450.0,18.0,25.0
143,500.0,18.0,27.77777777777778
144,450.0,18.0,25.0
145,470.0,18.0,26.11111111111111
146,750.0,18.0,41.666666666666664
147,750.0,18.0,41.666666666666664
148,420.0,18.0,23.333333333333332
149,320.0,18.0,17.77777777777778
150,450.0,18.0,25.0
151,1190.0,18.0,66.11111111111111
152,350.0,18.0,19.444444444444443
153,1650.0,18.0,91.66666666666667
154,400.0,18.0,22.22222222222222
155,2050.0,18.0,113.88888888888889
156,2050.0,18.0,113.88888888888889
157,450.0,18.0,25.0
158,480.0,18.0,26.666666666666668
159,390.0,18.0,21.666666666666668
